Country,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Aruba,0.11771072628132147,-0.6286931041178526,1.1900443200912327,0.7493300847843235,0.6735795819276374,-0.08383432508257599,0.7804055815853692,-0.6549346746685207,0.4046129940450818,0.796609358032235,-0.9243671754055348,0.8054658464847559,1.1377763634646902,0.6182136552267212,0.06362645727181435,0.10127441959558642,0.020760362558727652,0.1661811303155937,-0.01355107901687506,0.2237255805706002,-0.14446189023207154,-0.15909986728324946,0.15123763493349204
Angola,-2.6657921300843905,0.6709312082955278,0.0073567728613344605,-0.6950335432892119,-0.10653766467683395,0.10587605113252321,-0.5567123839574449,-0.013105608715173883,0.1414450193276589,-0.1352055048473968,-0.27638686095462495,-0.7476906325571527,0.0891080622240215,-0.1461608439479651,0.04206002410369077,0.028880008297470602,-0.040808897076853416,-0.021093541604667553,-0.2654866821872967,-0.00045165687516393783,0.2403213771158254,-0.16144533819426898,-0.008066697404432386
Albania,1.3088467262823802,1.3123617506103822,-1.6127254946407714,0.6110756657575905,1.6013850101715865,0.5756598257391006,0.6149679580071389,-0.6449713517484194,0.3598382445202122,-0.8706139447776006,0.6395990637044298,1.4193659278026287,-0.15573745392483204,0.2373031083121847,0.5512244823847702,0.3475726947467344,0.021850355336820896,-0.09462220858307542,0.10251204173781378,0.01322859429282914,0.12603499421692602,-0.01784608790308293,-0.050674380468835385
Andorra,2.2336353538502727,-0.7765192635297601,1.541552388472089,0.15291935922164013,0.09708858750230126,1.4439567210863011,0.3267278732878809,0.19772033771718275,1.2247630047359392,-0.22177709945222923,-0.46333497114184685,0.3525836521085632,0.3650850904068491,0.5440954600304377,0.21600403782937577,-0.5154948646738826,0.3177331724662977,-0.18986947623508874,0.071212267189438,-0.188918568135635,-0.19141117284422632,-0.5003586256954745,-0.06733757752391956
United Arab Emirates,1.5167420170007155,-0.7556260870125108,-0.028439171048951894,-0.9779980922784319,-0.9642401538120492,2.4678581527491064,-0.3729004675657033,0.01827290270223784,-0.04697326181849788,-0.37552239667113535,-0.6968535528830117,-0.018360607664331518,1.2933196528538384,0.26991920965655913,0.38491522607309653,0.5155373188490712,-0.6401667009181197,-0.20970560081968054,0.2098672473056652,0.17801177301710697,0.02775252693917222,0.1174349098191842,0.04623845053410334
Argentina,-0.36726608062077204,-0.37197918864108326,0.8800777436824759,1.5258534490742195,0.17731825521885006,0.26322337875873625,0.7353233856299441,0.5344440400755794,0.08060025617181371,0.7583335438666855,1.2077735059832744,0.4288911286768684,-0.3722084751948682,-0.2886945494093887,0.1978042319521905,0.2629749430694243,0.04038591049643242,-0.07904750894757921,-0.3257372421394803,-0.05278244561864996,-0.08343306038388013,0.026783239624822933,0.020170861498539496
Armenia,9.57016278566863,8.171358685705332,-6.972772310719385,1.6893026086185337,-2.1227009266521324,1.8369553585972946,-1.8461994626717493,0.7669588958695173,0.2796510090960491,-0.0024106849765430567,-1.3844677031523773,-0.5274747842997959,0.8636964521458871,-2.03819241003372,-0.7049177497122976,0.4721363581803223,-0.24165012467350225,1.32206595995304,-0.2352107722435094,-0.5570430611028211,-0.3748807841352778,0.06526560428939107,-0.0008809964379675369
American Samoa,0.8743173234687992,1.7157719979292532,0.44835600380778773,-0.5768148015027363,-0.029062535064163657,-0.5189115133521793,-0.0628312883439492,-0.10849428652852362,-0.01562653786826627,-0.2884332698130319,-0.05523951689532244,0.16584092510815454,-0.3644098037072828,-0.3758826413511859,1.0685624947962642,-0.8439350263649589,0.38469058271165685,-0.7156834084743783,0.08784063136322316,-0.17238470488631163,-0.8970553685271454,0.03702732910087951,0.005513354009816025
Antigua and Barbuda,-0.308564407686961,-0.07087502051167992,0.29643521361555736,-0.22420163397005843,0.1599611502282363,1.2217767658950638,0.19733007904925845,-0.7934370055267086,-0.18080554510315272,-0.30960078150010206,-0.12290736214856134,0.07261364632389919,0.8302018035262093,0.35079516578996356,0.49354624762582844,-0.029990601856637007,0.030240908069863865,-0.15191532475857683,0.021274832093256153,-0.008966634005984428,0.0663410577006686,-0.1082076819243762,-0.05891133116318327
Australia,2.287773643419159,-1.3756386772741078,0.45974911425922294,0.7803932865603396,0.7491126875343056,0.9179040953522143,0.3978996746499103,0.92508925115343,0.20131938473477282,0.5162604354034254,0.08034701857823387,0.7651255218581046,-0.8762311903591303,-0.33827001265691264,-0.15406569999972874,0.2676049985878637,-0.15600961892297413,-0.24712641058701446,0.04608017708251174,0.05222870731201044,0.06437145756353851,-0.044354767087235465,0.03018387461129271
Austria,2.216941629606588,-2.96201998304241,0.9079349085131615,0.21283946456125735,1.5506472213722562,-0.1630332756038129,-0.07606862362447522,0.5940015204412838,-0.8553997723653711,-0.03011733385513264,0.18945390734581227,-1.1050335427504503,0.06194328940181665,-0.8664190575429989,0.22296162438888745,0.31229106450763683,-0.217852405496047,0.18796319965585787,-0.11135790416982393,0.17806250444756902,-0.0344692930690336,-0.03963635541237298,0.03378294601724281
Azerbaijan,-0.2955633966841375,-0.6349089793650039,-0.2640947238337375,-0.8235188987052059,1.7559824058733535,1.2216739445644875,0.19737881864014703,-0.12630915677812404,0.4521053955012795,0.11370927470387045,0.25679161842022286,-0.10675249346750999,1.073921052506669,0.6592131825525366,-0.07211249556545353,-0.2011723966401515,0.42680786914029667,0.19285115440665904,0.021374875080818728,-0.00430001791458766,-0.1935956314585857,0.1584740631709001,-0.061162251001310224
