Country,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23
Aruba,0.11771072628132229,-0.628693104117852,1.190044320091232,-0.7493300847843245,-0.6735795819276394,-0.08383432508255079,-0.7804055815853704,-0.6549346746685178,0.40461299404508094,-0.7966093580322386,0.9243671754055285,-0.8054658464847531,-1.1377763634647018,0.618213655226717,-0.06362645727181888,-0.10127441959558571,-0.020760362558724866,0.1661811303155957,-0.0135510790168803,0.22372558057061043,0.14446189023207714,0.15909986728325473,-0.15123763493348172
Angola,-2.665792130084392,0.6709312082955246,0.007356772861332504,0.6950335432892122,0.10653766467683619,0.10587605113250823,0.5567123839574468,-0.013105608715174535,0.14144501932765716,0.13520550484739488,0.2763868609546288,0.7476906325571522,-0.08910806222401323,-0.14616084394796655,-0.04206002410369069,-0.02888000829747016,0.04080889707685289,-0.021093541604671827,-0.2654866821872948,-0.0004516568751753033,-0.24032137711582713,0.16144533819427262,0.008066697404438394
Albania,1.30884672628238,1.3123617506103833,-1.6127254946407772,-0.611075665757586,-1.6013850101715859,0.5756598257391249,-0.614967958007121,-0.6449713517484197,0.35983824452021745,0.8706139447776009,-0.6395990637044336,-1.4193659278026207,0.15573745392481717,0.23730310831218596,-0.5512244823847742,-0.34757269474673325,-0.021850355336826183,-0.09462220858307135,0.10251204173781771,0.013228594292824403,-0.12603499421692574,0.01784608790308151,0.050674380468835614
Andorra,2.2336353538502736,-0.7765192635297569,1.5415523884720925,-0.1529193592216407,-0.0970885875022946,1.4439567210863113,-0.3267278732878444,0.1977203377171832,1.224763004735939,0.22177709945222412,0.46333497114184785,-0.3525836521085585,-0.36508509040685283,0.5440954600304332,-0.21600403782937622,0.5154948646738836,-0.31773317246630284,-0.18986947623507908,0.07121226718944229,-0.1889185681356111,0.1914111728442216,0.5003586256954661,0.06733757752393188
United Arab Emirates,1.516742017000717,-0.7556260870125097,-0.028439171048946874,0.9779980922784337,0.9642401538120625,2.467858152749093,0.3729004675657621,0.018272902702235982,-0.04697326181849873,0.37552239667113413,0.6968535528830111,0.01836060766434198,-1.2933196528538369,0.2699192096565556,-0.3849152260731015,-0.5155373188490704,0.6401667009181152,-0.2097056008196924,0.20986724730566883,0.17801177301710128,-0.02775252693916939,-0.11743490981917991,-0.04623845053410515
Argentina,-0.36726608062077093,-0.37197918864108304,0.880077743682474,-1.525853449074222,-0.17731825521885047,0.2632233787587577,-0.735323385629936,0.5344440400755821,0.08060025617181384,-0.758333543866681,-1.207773505983277,-0.4288911286768654,0.3722084751948659,-0.28869454940938755,-0.1978042319521904,-0.26297494306942304,-0.04038591049643405,-0.07904750894758171,-0.32573724213947797,-0.05278244561865051,0.08343306038387832,-0.02678323962482242,-0.020170861498541727
Armenia,9.570162785668627,8.171358685705343,-6.97277231071938,-1.6893026086185217,2.1227009266521417,1.8369553585972374,1.8461994626717908,0.7669588958695102,0.27965100909604607,0.0024106849765431664,1.3844677031523844,0.5274747842997964,-0.863696452145872,-2.0381924100337145,0.7049177497123048,-0.47213635818032357,0.24165012467353444,1.3220659599530304,-0.23521077224352405,-0.5570430611028235,0.37488078413527687,-0.06526560428938821,0.000880996437957246
American Samoa,0.8743173234687978,1.7157719979292543,0.44835600380778934,0.5768148015027356,0.029062535064160983,-0.5189115133521814,0.06283128834393599,-0.10849428652852357,-0.015626537868266288,0.2884332698130321,0.05523951689532427,-0.16584092510815868,0.3644098037072862,-0.3758826413511917,-1.068562494796261,0.8439350263649599,-0.3846905827116672,-0.7156834084743665,0.08784063136323289,-0.17238470488625818,0.8970553685271381,-0.03702732910089666,-0.005513354009825102
Antigua and Barbuda,-0.3085644076869609,-0.07087502051168043,0.2964352136155571,0.2242016339700589,-0.1599611502282305,1.2217767658950702,-0.19733007904922914,-0.793437005526709,-0.18080554510315178,0.3096007815001002,0.12290736214856109,-0.07261364632389083,-0.8302018035262099,0.35079516578995845,-0.49354624762583166,0.02999060185663903,-0.030240908069868053,-0.15191532475857497,0.021274832093259304,-0.008966634005985224,-0.06634105770067125,0.10820768192437284,0.058911331163185754
Australia,2.287773643419161,-1.3756386772741054,0.4597491142592231,-0.7803932865603381,-0.7491126875343019,0.9179040953522292,-0.3978996746498833,0.9250892511534305,0.20131938473477237,-0.5162604354034233,-0.08034701857823752,-0.7651255218581122,0.8762311903591247,-0.3382700126569074,0.15406569999973135,-0.267604998587865,0.156009618922968,-0.24712641058701668,0.04608017708251767,0.05222870731200993,-0.06437145756353607,0.04435476708723958,-0.03018387461129059
