,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
Comp0,7.291343369595941,7.291343369595941,31.70149291128665,31.70149291128665
Comp1,3.842968690217985,11.134312059813926,16.708559522686866,48.41005243397352
Comp2,2.13354173512071,13.267853794934636,9.27626841356829,57.68632084754181
Comp3,1.6729156196892065,14.940769414623842,7.2735461725617565,64.95986702010356
Comp4,1.3083517305368086,16.24912114516065,5.688485784942638,70.6483528050462
Comp5,1.1835374629945892,17.43265860815524,5.145815056498206,75.79416786154441
Comp6,1.0303088878738629,18.4629674960291,4.479603860321136,80.27377172186554
Comp7,0.8963705173316813,19.359338013360784,3.8972631188333904,84.17103484069894
Comp8,0.7401094935293175,20.0994475068901,3.2178673631709414,87.38890220386988
Comp9,0.6188850616054737,20.718332568495576,2.6908046156759684,90.07970681954585
Comp10,0.5444319419650842,21.26276451046066,2.3670953998481883,92.44680221939403
Comp11,0.45403042583407827,21.716794936294736,1.9740453297133806,94.4208475491074
Comp12,0.3342439118933155,22.051038848188053,1.453234399536152,95.87408194864356
Comp13,0.310998960169692,22.362037808357744,1.352169392042137,97.2262513406857
Comp14,0.23825564618786974,22.600293454545614,1.0358941138603015,98.26214545454602
Comp15,0.13005752209604754,22.730350976641663,0.5654674873741189,98.82761294192014
Comp16,0.0782871181085394,22.808638094750204,0.3403787743849534,99.1679917163051
Comp17,0.06765530463125582,22.87629339938146,0.294153498396764,99.46214521470186
Comp18,0.050703286916229016,22.926996686297688,0.22044907354882148,99.68259428825068
Comp19,0.029241236627020727,22.956237922924707,0.12713581142182906,99.8097300996725
Comp20,0.025191876917732826,22.98142979984244,0.10952989964231648,99.91925999931482
Comp21,0.014747746170566265,22.99617754601301,0.06412063552420105,99.98338063483902
Comp22,0.0038224539870254965,23.000000000000036,0.016619365160980393,100.0
